data;valor
12/29/2020;142.48
12/28/2020;144.10
12/25/2020;144.83
12/24/2020;144.83
12/23/2020;146.88
12/22/2020;149.27
12/21/2020;150.62
12/18/2020;148.76
12/17/2020;146.86
12/16/2020;148.73
12/15/2020;149.23
12/14/2020;150.42
12/11/2020;153.70
12/10/2020;153.47
12/09/2020;154.62
12/08/2020;154.22
12/07/2020;154.34
12/04/2020;151.93
12/03/2020;152.92
12/02/2020;155.73
12/01/2020;155.96
11/30/2020;165.49
11/27/2020;163.86
11/26/2020;166.37
11/25/2020;166.36
11/24/2020;167.08
11/23/2020;171.67
11/20/2020;172.51
11/19/2020;173.74
11/18/2020;173.02
11/17/2020;176.21
11/16/2020;175.44
11/13/2020;179.67
11/12/2020;177.34
11/10/2020;165.70
11/09/2020;164.74
11/06/2020;186.94
11/05/2020;191.59
11/04/2020;203.68
11/03/2020;209.43
11/02/2020;215.51
10/30/2020;215.33
10/29/2020;216.12
10/28/2020;218.31
10/27/2020;210.48
10/26/2020;212.26
10/23/2020;209.65
10/22/2020;214.22
10/21/2020;212.68
10/20/2020;215.38
10/19/2020;217.28
10/16/2020;217.11
10/15/2020;221.20
10/14/2020;220.32
10/13/2020;216.48
10/12/2020;213.87
10/09/2020;213.87
10/08/2020;221.13
10/07/2020;224.85
10/06/2020;228.85
10/05/2020;231.25
10/02/2020;243.61
10/01/2020;243.54
09/30/2020;246.93
09/29/2020;251.11
09/28/2020;247.14
09/25/2020;248.51
09/24/2020;251.06
09/23/2020;242.61
09/22/2020;232.23
09/21/2020;227.32
09/18/2020;201.34
09/17/2020;197.04
09/16/2020;195.69
09/15/2020;196.27
09/14/2020;198.96
09/11/2020;200.64
09/10/2020;198.98
09/09/2020;205.43
09/08/2020;210.54
09/07/2020;204.94
09/04/2020;204.94
09/03/2020;199.94
09/02/2020;193.64
09/01/2020;200.77
08/31/2020;212.01
08/28/2020;211.64
08/27/2020;220.29
08/26/2020;222.19
08/25/2020;212.88
08/24/2020;216.06
08/21/2020;222.69
08/20/2020;231.67
08/19/2020;224.12
08/18/2020;222.45
08/17/2020;227.99
08/14/2020;224.74
08/13/2020;218.42
08/12/2020;207.07
08/11/2020;204.89
08/10/2020;208.77
08/07/2020;213.32
08/06/2020;213.36
08/05/2020;216.25
08/04/2020;218.87
08/03/2020;215.17
07/31/2020;215.22
07/30/2020;219.16
07/29/2020;216.21
07/28/2020;221.25
07/27/2020;220.85
07/24/2020;225.20
07/23/2020;216.17
07/22/2020;201.01
07/21/2020;209.02
07/20/2020;221.29
07/17/2020;228.46
07/16/2020;237.63
07/15/2020;234.85
07/14/2020;237.13
07/13/2020;234.94
07/10/2020;238.30
07/09/2020;235.42
07/08/2020;231.49
07/07/2020;226.57
07/06/2020;222.03
07/03/2020;224.18
07/02/2020;224.97
07/01/2020;234.78
06/30/2020;251.36
06/29/2020;260.05
06/26/2020;262.94
06/25/2020;256.18
06/24/2020;258.13
06/23/2020;246.38
06/22/2020;259.09
06/19/2020;259.07
06/18/2020;260.66
06/17/2020;253.98
06/16/2020;243.93
06/15/2020;258.09
06/12/2020;260.99
06/11/2020;270.69
06/10/2020;221.30
06/09/2020;217.14
06/08/2020;205.49
06/05/2020;202.70
06/04/2020;224.57
06/03/2020;223.91
06/02/2020;241.32
06/01/2020;270.34
05/29/2020;284.79
05/28/2020;265.58
05/27/2020;265.58
05/26/2020;270.45
05/25/2020;304.02
05/22/2020;304.01
05/21/2020;294.30
05/20/2020;308.86
05/19/2020;323.27
05/18/2020;318.65
05/15/2020;337.89
05/14/2020;337.79
05/13/2020;338.16
05/12/2020;323.49
05/11/2020;309.10
05/08/2020;309.05
05/07/2020;318.32
05/06/2020;323.45
05/05/2020;308.93
05/04/2020;313.44
05/01/2020;313.47
04/30/2020;298.91
04/29/2020;313.32
04/28/2020;346.99
04/27/2020;366.65
04/24/2020;361.62
04/23/2020;323.12
04/22/2020;313.31
04/21/2020;313.29
04/20/2020;289.23
04/17/2020;284.44
04/16/2020;294.16
04/15/2020;289.13
04/14/2020;265.13
04/13/2020;265.09
04/10/2020;255.18
04/09/2020;255.18
04/08/2020;313.47
04/07/2020;313.52
04/06/2020;332.88
04/03/2020;347.10
04/02/2020;327.84
04/01/2020;327.79
03/31/2020;264.85
03/30/2020;264.87
03/27/2020;259.81
03/26/2020;226.04
03/25/2020;221.19
03/24/2020;298.41
03/23/2020;360.56
03/20/2020;340.53
03/19/2020;342.55
03/18/2020;376.53
03/17/2020;300.18
03/16/2020;311.92
03/13/2020;248.92
03/12/2020;290.10
03/11/2020;222.12
03/10/2020;173.65
03/09/2020;142.14
03/06/2020;142.15
03/05/2020;132.35
03/04/2020;110.49
03/03/2020;120.54
03/02/2020;125.25
02/28/2020;134.66
02/27/2020;124.91
02/26/2020;110.76
02/25/2020;106.95
02/24/2020;99.46
02/21/2020;92.96
02/20/2020;92.52
02/19/2020;92.06
02/18/2020;92.51
02/17/2020;93.26
02/14/2020;93.26
02/13/2020;97.02
02/12/2020;96.89
02/11/2020;97.98
02/10/2020;100.09
02/07/2020;100.34
02/06/2020;96.37
02/05/2020;96.06
02/04/2020;98.72
02/03/2020;102.67
01/31/2020;104.56
01/30/2020;100.52
01/29/2020;96.18
01/28/2020;99.19
01/27/2020;106.47
01/24/2020;101.90
01/23/2020;99.50
01/22/2020;98.02
01/21/2020;98.62
01/20/2020;97.88
01/17/2020;97.88
01/16/2020;97.11
01/15/2020;100.20
01/14/2020;101.08
01/13/2020;99.98
01/10/2020;98.81
01/09/2020;97.11
01/08/2020;97.34
01/07/2020;98.68
01/06/2020;98.42
01/03/2020;99.38
01/02/2020;97.45
01/01/2020;99.11
12/31/2019;99.11
12/30/2019;99.52
12/27/2019;99.97
12/26/2019;102.01
12/25/2019;103.40
12/24/2019;103.40
