data_coleta,variavel,mediana
2025-11-12,IPCA_12m,4.1013
2025-11-12,IPCA_12m,4.1041
2025-11-13,IPCA_12m,4.0937
2025-11-13,IPCA_12m,4.1066
2025-11-14,IPCA_12m,4.1041
2025-11-14,IPCA_12m,4.1181
2025-11-17,IPCA_12m,4.0937
2025-11-17,IPCA_12m,4.1238
2025-11-18,IPCA_12m,4.0886
2025-11-18,IPCA_12m,4.1168
2025-11-19,IPCA_12m,4.0926
2025-11-19,IPCA_12m,4.1171
2025-11-21,IPCA_12m,4.0216
2025-11-21,IPCA_12m,4.0397
2025-11-24,IPCA_12m,4.0214
2025-11-24,IPCA_12m,4.0659
2025-11-25,IPCA_12m,4.0316
2025-11-25,IPCA_12m,4.0853
2025-11-26,IPCA_12m,4.0214
2025-11-26,IPCA_12m,4.0745
2025-11-27,IPCA_12m,3.9904
2025-11-27,IPCA_12m,4.0532
2025-11-28,IPCA_12m,4.0163
2025-11-28,IPCA_12m,4.0865
2025-12-01,IPCA_12m,4.0009
2025-12-01,IPCA_12m,4.0379
2025-12-02,IPCA_12m,3.9801
2025-12-02,IPCA_12m,4.0347
2025-12-03,IPCA_12m,3.9908
2025-12-03,IPCA_12m,4.0414
2025-12-04,IPCA_12m,3.9801
2025-12-04,IPCA_12m,4.0383
2025-12-05,IPCA_12m,3.9529
2025-12-05,IPCA_12m,4.0133
2025-12-08,IPCA_12m,3.9563
2025-12-08,IPCA_12m,4.0238
2025-12-09,IPCA_12m,3.9459
2025-12-09,IPCA_12m,4.0241
2025-12-10,IPCA_12m,4.0208
2025-12-10,IPCA_12m,4.0203
2025-12-11,IPCA_12m,4.0211
2025-12-11,IPCA_12m,4.0223
2025-12-12,IPCA_12m,3.995
2025-12-12,IPCA_12m,3.9985
2025-12-15,IPCA_12m,3.9594
2025-12-15,IPCA_12m,3.9722
2025-12-16,IPCA_12m,3.9424
2025-12-16,IPCA_12m,3.9808
2025-12-17,IPCA_12m,3.9676
2025-12-17,IPCA_12m,3.9884
2025-12-18,IPCA_12m,3.9424
2025-12-18,IPCA_12m,3.9767
2025-12-19,IPCA_12m,3.9598
2025-12-19,IPCA_12m,4.0023
2025-12-22,IPCA_12m,3.9806
2025-12-22,IPCA_12m,4.0144
2025-12-23,IPCA_12m,3.9797
2025-12-23,IPCA_12m,4.0123
2025-12-24,IPCA_12m,3.9598
2025-12-24,IPCA_12m,4.0214
2025-12-26,IPCA_12m,3.9494
2025-12-26,IPCA_12m,4.0022
2025-12-29,IPCA_12m,3.8828
2025-12-29,IPCA_12m,3.9307
2025-12-30,IPCA_12m,3.8853
2025-12-30,IPCA_12m,3.9282
